ID,Tên công việc,Mô tả,ID lĩnh vực,Loại công việc,Loại lương,Yêu cầu
3029,Content Creator cho sản phẩm Chatbot AI,"<p>1. M&ocirc; Tả C&ocirc;ng Việc</p>

<p>Ch&uacute;ng t&ocirc;i đang t&igrave;m kiếm một Content Creator s&aacute;ng tạo v&agrave; chuy&ecirc;n nghiệp c&oacute; kinh nghiệm trong sản xuất video quảng c&aacute;o để hỗ trợ tạo ra c&aacute;c video hấp dẫn, gi&uacute;p quảng b&aacute; phần mềm quản l&yacute; tin nhắn đa k&ecirc;nh. Ứng vi&ecirc;n sẽ l&agrave;m việc c&ugrave;ng đội ngũ marketing để x&acirc;y dựng c&aacute;c video truyền tải r&otilde; r&agrave;ng lợi &iacute;ch v&agrave; t&iacute;nh năng của phần mềm cho đối tượng kh&aacute;ch h&agrave;ng ch&iacute;nh l&agrave; doanh nghiệp vừa v&agrave; nhỏ (SME) v&agrave; c&aacute;c chủ doanh nghiệp trong c&aacute;c ng&agrave;nh như FnB, Spa, Gi&aacute;o dục, v&agrave; Du lịch.</p>

<p>2. Tr&aacute;ch Nhiệm C&ocirc;ng Việc</p>

<p>Ph&aacute;t triển &yacute; tưởng s&aacute;ng tạo, l&ecirc;n kịch bản cho c&aacute;c video quảng c&aacute;o.</p>

<p>Sản xuất c&aacute;c video chất lượng cao (2-5 ph&uacute;t) để giới thiệu t&iacute;nh năng nổi bật như ph&acirc;n t&iac",1035,2,1,"<p>Biết sử mạng x&atilde; hội</p>
"
3030,"Đưa ra kế hoạch, chiến lược cho công việc Starup bán áo thun local brand","<p>- Đưa ra kế hoạch tổng qu&aacute;t, chiến lược cho c&ocirc;ng việc</p>

<p>C&oacute; thể chọn l&agrave;m th&ecirc;m hỗ trợ hoặc quản l&yacute; c&aacute;c đầu việc sau (sẽ được trả th&ecirc;m theo thương lượng):</p>

<p>- Hỗ trợ x&acirc;y dựng thương hiệu v&agrave; Marketing</p>

<p>- T&igrave;m kiếm xưởng sản xuất: T&igrave;m một xưởng sản xuất uy t&iacute;n, c&oacute; chất lượng sản phẩm tốt v&agrave; gi&aacute; cả hợp l&yacute;.</p>

<p>- Quản l&yacute; chất lượng: Kiểm so&aacute;t chặt chẽ chất lượng sản phẩm trước khi đưa ra thị trường.</p>
",1034,2,1,"<p>C&oacute; kinh nghiệm c&ocirc;ng việc tương tự 2 năm</p>
"
3031,Viết plugin wordpress,"<p>T&ocirc;i cần viết mốt plugin cho ph&eacute;p kết nối đồng bộ giữa trang web của t&ocirc;i v&agrave; một b&ecirc;n thứ 3, đ&atilde; c&oacute; docs api sẵn</p>
",1030,1,2,"<p>C&oacute;&nbsp; kiến thức về lập tr&igrave;nh</p>
"
3032,Cần php senior maintain upgrade UI web theo figma,"<p>link dự &aacute;n</p>

<p>https://drive.google.com/drive/folders/11Dc6UmgBNpNJbGQpFNCaHa9HmxvdAW0Z?usp=sharing</p>
",1030,1,2,"<p>c&oacute; kinh nghiệp php 5 năm</p>
"
3033,Mình cần hỗ trợ tối ưu và chạy Quảng cáo Shopee,"<p>M&igrave;nh cần hỗ trợ tối ưu v&agrave; chạy Quảng c&aacute;o Shopee</p>

<p>Vui l&ograve;ng gửi th&ocirc;ng tin chi tiết qua nh&eacute;.</p>

<p>Xin cảm ơn.</p>
",1034,1,1,"<p>C&oacute; kinh nghiệm với c&ocirc;ng việc li&ecirc;n quan</p>
"
3034,Mình cần tìm 1 bạn có kinh nghiệm về phát triển nội dung kênh social,"<p>M&igrave;nh cần t&igrave;m 1 bạn c&oacute; kinh nghiệm về ph&aacute;t triển nội dung k&ecirc;nh social. M&igrave;nh cần l&ecirc;n kế hoạch bi&ecirc;n tập nội dung về tin tức thể thao b&oacute;ng đ&aacute; , phối hợp với editter để đăng nền nền tảng tiktok fb reel</p>
",1034,2,2,"<p>Biết bi&ecirc;n t&acirc;p v&agrave; c&oacute; kiến thức về thể thao</p>
"
3035,Thiết kế website giáo dục,"<p>1. Đ&aacute;nh gi&aacute; hiện trạn website hiện c&oacute;.</p>

<p>2. Thiết kế lại website dựa tr&ecirc;n website sẵn c&oacute; tr&ecirc;n nền tảng Workpress.</p>

<p>3. Quản l&yacute; website (nếu được).</p>
",1030,1,2,"<p>C&oacute; kỹ năng ph&acirc;n t&iacute;ch v&agrave; mắt thẩm mỹ</p>
"
3036,Làm video tiktok từ 45 -50s theo nội dung đã cho,"<p>Bạn sẽ nhận được một nội dung chủ đề v&agrave; dựng một video tiktok ph&ugrave; hợp với chủ đề đ&oacute;. Sau mỗi video bạn sẽ nhận được tiền lu&ocirc;n nếu video đạt y&ecirc;u cầu. Ch&uacute;ng t&ocirc;i cần t&igrave;m 1-2 bạn để hợp t&aacute;c l&acirc;u d&agrave;i. Vui l&ograve;ng gửi cho t&ocirc;i một v&agrave;i thiết kế m&agrave; bạn t&acirc;m đắc. Ch&uacute;ng t&ocirc;i sẽ check xem n&oacute; c&oacute; ph&ugrave; hợp với định hướng ch&uacute;ng t&ocirc;i trước khi đưa ra quyết định</p>
",1035,2,1,"<p>C&oacute; k&ecirc;nh tiktok với &iacute;t nhất 100 lượt theo d&otilde;i</p>
"
3037,"Làm video tiktok, youtube quảng cáo sản phẩm","<p>C&ocirc;ng ty Bất Động Sản H&agrave; Đ&ocirc; Ph&aacute;t cần tuyển 02 cộng t&aacute;c vi&ecirc;n media</p>

<p>- Lĩnh vực : bất động sản</p>

<p>-Số lượng : 02</p>

<p>-Lương thoả thuận</p>

<p>- Nội dung y&ecirc;u cầu : y&ecirc;u cầu quay , edit , đề xuất content ( nếu c&oacute; khả năng ), tư vấn hướng social media cho doanh nghiệp</p>
",1034,2,1,"<p>đảm bảo đ&uacute;ng tiến độ 2 ng&agrave;y 1 clip, l&agrave;m việc chuy&ecirc;n nghiệp , trung thực, linh hoạt , nhanh nhẹn, s&aacute;ng tạo,&hellip;</p>
"
3038,TVC Quảng Cáo Nhẫn Cưới/ Cầu Hôn,"<p>Cần 1 kịch bản TVC dạng phim ngắn 1 ph&uacute;t quảng c&aacute;o về sản phẩm trang sức nhẫn cưới/ nhẫn cầu h&ocirc;n</p>
",1034,1,2,"<p>Ngoại h&igrave;nh ưa nh&igrave;n, cao tr&ecirc;n 1m8</p>
"
3039,Trợ lý từ xa,"<p>T&igrave;m trợ l&yacute; từ xa, c&aacute;c c&ocirc;ng việc chủ yếu li&ecirc;n quan đến tổng hợp, thu thập, t&oacute;m tắt th&ocirc;ng tin, viết b&aacute;o c&aacute;o về c&aacute;c chủ đề m&ocirc;i trường, n&ocirc;ng nghiệp, biến đổi kh&iacute; hậu, ph&aacute;t triển bền vững, ...</p>
",1038,2,1,"<p>C&oacute; kinh nghiệm với lĩnh vực li&ecirc;n quan</p>
"
3040,Quản lý blog,"<p>T&igrave;m t&agrave;i liệu ph&aacute;p luật, tin tức li&ecirc;n quan cho blog</p>
",1035,2,1,"<p>Kh&ocirc;ng y&ecirc;u cầu kinh nghiệm</p>
"
3041,Chụp ảnh sự kiện tại Hà Nội,"<p>B&ecirc;n m&igrave;nh cần tuyển 1 bạn chụp h&igrave;nh sự kiện trao bằng ng&agrave;y 01/07/2024 từ 13:30-15:30 tại Ho&agrave;n Kiếm, H&agrave; Nội.</p>
",1035,1,2,"<p>C&oacute; kinh nghiệm chụp ảnh</p>
"
3042,Tìm freelancer chụp ảnh Hội thảo PVN tại TP.Hồ Chí Minh ,"<p>chụp sự kiện cho 130 người từ 13h00 đến 17h00 v&agrave; l&agrave;m 1 cjip ngắn 5 -10p - chụp gala 18h30 đến 20h</p>
",1035,1,2,"<p>C&oacute; kinh nghiệm chụp ảnh</p>
"
3043,Viết phần mềm đăng ký mua vàng online,"<p>T&ocirc;i muốn viết phần mềm đăng k&yacute; mua v&agrave;ng online (sử dụng phương thức http request). Trong đ&oacute;, c&oacute; c&aacute;c chức năng như: đăng k&yacute; nhiều t&agrave;i c&ugrave;ng l&uacute;c, c&oacute; chức năng hẹn giờ thực hiện, c&oacute; thể lặp lại hoạt động đăng k&yacute; sau khoảng thời gian n&agrave;o đ&oacute;</p>
",1030,1,2,"<p>Tốt nghiệp cao đẳng trở l&ecirc;n</p>
"
3044,Tuyển lập trình VueJS + Strapi,"<p>Cần tuyền 1 bạn Frontend Dev mid-level, l&agrave;m việc freelance + remote, tham gia team startup b&ecirc;n m&igrave;nh.</p>
",1030,2,1,"<p>Y&ecirc;u cầu c&oacute; 1-2 năm kinh nghiệm l&agrave;m việc với VueJS&nbsp;</p>
"
3045,Tìm bạn nào giỏi về vi phạm chính sách Facebook + phần mềm Facebook giúp mình quản lý group fanpage bằng phần mềm ,"<p># Tuyển Dụng: Chuy&ecirc;n Vi&ecirc;n Quảng C&aacute;o Facebook</p>
",1035,2,1,"<p>- C&oacute; tr&ecirc;n 1 năm kinh nghiệm chạy quảng c&aacute;o trong ng&agrave;nh cờ bạc (T&agrave;i Xỉu, Xổ Số, B&oacute;ng Đ&aacute;).</p>

<p>- Quen thuộc với nhiều loại quảng c&aacute;o v&agrave; c&oacute; khả năng chạy đa dạng c&aacute;c loại h&igrave;nh quảng c&aacute;o.</p>

<p>- Kỹ năng giải quyết c&aacute;c vấn đề như t&agrave;i khoản chết, chi ph&iacute; cao v&agrave; c&aacute;c kh&oacute; khăn kh&aacute;c trong qu&aacute; tr&igrave;nh chạy quảng c&aacute;o.</p>

<p>- Am hiểu c&aacute;ch l&aacute;ch c&aacute;c quy định về quảng c&aacute;o vi phạm ch&iacute;nh s&aacute;ch ng&agrave;nh cờ bạc.</p>

<p>## Tr&aacute;ch Nhiệm C&ocirc;ng Việc</p>

<p>1. **Điều Phối v&agrave; Chuẩn Bị T&agrave;i Liệu Quảng C&aacute;o**:</p>

<p>- Chịu tr&aacute;ch nhiệm điều phối v&agrave; chuẩn bị t&agrave;i liệu quảng c&aacute;o.</p>

<p>- Theo d&otilde;i kịp thời hiệu quả của t&agrave;i liệu quảng c&aacute;o.</p>

<p>- Tối ưu h&oacute;a li&ecirc;n tục v&agrave; thường xuy&ecirc;n tổng kết kết quả chạy quảng c&aacute"
3046,"Cần tìm Freelancer thiết kế website, gian hàng trên sàn TMĐT cho lĩnh vực bánh nhập từ Trung Quốc","<p>Ch&agrave;o c&aacute;c bạn Freelancer,</p>

<p>M&igrave;nh b&aacute;n b&aacute;nh ngọt nhập khẩu trung quốc với nước &eacute;p tr&aacute;i c&acirc;y đ&oacute;ng chai n&ecirc;n cần t&igrave;m freelancer thiết kế website với x&acirc;y dựng cửa h&agrave;ng tr&ecirc;n shoppee với tiktok.</p>

<p>C&ocirc;ng việc cụ thể như sau: Trang chủ, gian h&agrave;ng, mua h&agrave;ng, thanh to&aacute;n &hellip; tr&ecirc;n website v&agrave; s&agrave;n thương mại điện tử.</p>

<p>C&acirc;c bạn inbox để trao đổi chi tiết hơn ạ</p>
",1030,1,2,"<p>C&oacute; kinh nghiệm l&agrave;m phần mềm thương mại điện tử</p>
"
3047,Tạo video quảng cáo và đăng lên các nền tảng mạng xã hội Thị trường Mỹ ,"<p>Ch&uacute;ng t&ocirc;i đang t&igrave;m kiếm một TikToker, Facebooker, Youtuber tại thị trường Mỹ để tạo v&agrave; đăng tải video quảng c&aacute;o trải nghiệm ứng dụng DrawingEZ. Mục ti&ecirc;u l&agrave; thu h&uacute;t người d&ugrave;ng mới tải ứng dụng. Nếu bạn c&oacute; t&agrave;i khoản TikToker, Facebooker, Youtuber với lượng người theo d&otilde;i lớn v&agrave; kỹ năng s&aacute;ng tạo nội dung, h&atilde;y hợp t&aacute;c với ch&uacute;ng t&ocirc;i để giới thiệu ứng dụng vẽ độc đ&aacute;o n&agrave;y!</p>
",1035,2,2,"<p>T&agrave;i khoản TikToker, Facebooker, Youtuber thuộc thị trường Mỹ với lượng người theo d&otilde;i lớn v&agrave; tương t&aacute;c tốt.</p>

<p>C&oacute; kinh nghiệm tạo nội dung quảng c&aacute;o hoặc trải nghiệm sản phẩm.</p>

<p>Khả năng s&aacute;ng tạo video độc đ&aacute;o, hấp dẫn, v&agrave; tương t&aacute;c cao với người xem.</p>

<p>Quan t&acirc;m đến ứng dụng vẽ hoặc c&aacute;c nội dung li&ecirc;n quan đến s&aacute;ng tạo.</p>

<p>Tr&aacute;ch nhiệm:</p>

<p>Tạo v&agrave; đăng video trải nghiệm ứng dụng DrawingEZ, hướng dẫn người d&ugrave;ng tải v&agrave; sử dụng app.</p>

<p>Sử dụng chiến lược s&aacute;ng tạo để thu h&uacute;t đối tượng người d&ugrave;ng tại Mỹ.</p>

<p>Phối hợp với đội ngũ của ch&uacute;ng t&ocirc;i để đảm bảo th&ocirc;ng điệp quảng c&aacute;o ph&ugrave; hợp với ứng dụng.</p>

<p>Quyền lợi:</p>

<p>Cơ hội hợp t&aacute;c l&acirc;u d&agrave;i với ứng dụng s&aacute;ng tạo</p>
"
